AssetConfig_mSCOA_ID,FinYear,TypeID,CategoryID,SubCategoryID,MeasurementTypeID,StatusID,Default,Enabled,UpLoadFile,CreatedByID,CreatedDate,ModifiedByID,ModiefiedDate
153,2025/2026,5,NULL,NULL,1,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
154,2025/2026,4,28,158,1,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
155,2025/2026,4,29,141,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
156,2025/2026,4,28,157,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
157,2025/2026,3,11,124,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
158,2025/2026,4,27,NULL,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
159,2025/2026,4,14,87,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
160,2025/2026,4,14,94,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
161,2025/2026,4,13,181,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
162,2025/2026,4,19,NULL,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
163,2025/2026,6,30,170,NULL,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
