Room_ID,RoomDesc,FloorID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
287,R0180,84,2021-11-22 15:21:47.343,199,NULL,NULL,1
288,R0170,84,2021-11-22 15:22:01.790,199,NULL,NULL,1
289,R0168,84,2021-11-22 15:28:35.357,199,NULL,NULL,1
290,R0175,84,2021-11-22 15:29:58.447,199,NULL,NULL,1
291,R0095,85,2021-11-22 15:32:40.487,199,NULL,NULL,1
292,R0104,85,2021-11-22 15:57:51.713,199,2021-11-22 16:06:35.827,199,1
293,R0105,85,2021-11-22 15:58:14.323,199,2021-11-22 16:06:12.503,199,1
294,R0107,85,2021-11-22 15:58:37.987,199,2021-11-22 16:04:58.460,199,1
295,R0108,85,2021-11-22 15:58:57.173,199,NULL,NULL,1
296,R0109,85,2021-11-22 15:59:19.360,199,2021-11-22 16:05:24.913,199,1
297,R0111,85,2021-11-22 15:59:46.843,199,NULL,NULL,1
298,R0112,85,2021-11-22 16:01:41.240,199,2021-11-22 16:07:30.540,199,1
299,R0113,85,2021-11-22 16:02:00.903,199,2021-11-22 16:03:59.700,199,1
300,R0115,85,2021-11-22 16:08:29.010,199,NULL,NULL,1
301,R0116,85,2021-11-22 16:09:21.493,199,NULL,NULL,1
302,R0117,85,2021-11-22 16:11:32.150,199,2021-11-23 13:06:22.733,199,1
303,R0119,85,2021-11-22 16:11:59.743,199,NULL,NULL,1
304,R0120,85,2021-11-22 16:12:25.550,199,NULL,NULL,1
305,R0121,85,2021-11-22 16:12:50.630,199,NULL,NULL,1
306,R0122,85,2021-11-22 16:13:13.863,199,NULL,NULL,1
307,R0123,85,2021-11-22 16:13:37.867,199,NULL,NULL,1
308,R0054,73,2021-11-23 08:16:19.413,199,NULL,NULL,1
309,R0002,77,2021-11-23 08:22:07.720,199,NULL,NULL,1
310,R0003,77,2021-11-23 08:22:48.670,199,NULL,NULL,1
311,R0004,77,2021-11-23 08:23:14.493,199,NULL,NULL,1
312,R0005,77,2021-11-23 08:23:42.437,199,NULL,NULL,1
313,R0006,77,2021-11-23 08:24:08.807,199,NULL,NULL,1
314,R0007,77,2021-11-23 08:25:26.643,199,2021-11-23 13:44:18.520,199,1
315,R0009,77,2021-11-23 08:27:48.460,199,NULL,NULL,1
316,R0012,77,2021-11-23 08:29:05.447,199,NULL,NULL,1
317,R0013,77,2021-11-23 08:29:30.297,199,NULL,NULL,1
318,R0014,77,2021-11-23 08:29:55.587,199,NULL,NULL,1
319,R0015,77,2021-11-23 08:32:01.770,199,NULL,NULL,1
320,R0016,77,2021-11-23 08:32:43.703,199,NULL,NULL,1
321,R0023,77,2021-11-23 08:36:23.340,199,NULL,NULL,1
322,R0024,77,2021-11-23 08:36:54.390,199,NULL,NULL,1
323,R0025,77,2021-11-23 08:37:29.970,199,NULL,NULL,1
324,R0029,77,2021-11-23 08:39:11.023,199,NULL,NULL,1
