AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
118,Diesel Bowser,394,1,1,1,2021-05-11 08:50:45.543,199,NULL,NULL,NULL
119,Dumbells,393,1,1,1,2021-05-11 08:51:03.817,199,NULL,NULL,NULL
120,Drill,414,1,1,1,2021-05-11 08:51:19.780,199,NULL,NULL,NULL
121,Excavator,395,1,1,1,2021-05-11 08:51:40.470,199,NULL,NULL,NULL
122,Fumigator,396,1,1,1,2021-05-11 08:51:55.733,199,NULL,NULL,NULL
123,Generator,392,1,1,1,2021-05-11 08:52:20.733,199,NULL,NULL,NULL
124,Jack,384,0,1,1,2021-05-11 08:52:54.047,199,2022-09-15 14:54:36.000,199,NULL
125,Grader,397,1,1,1,2021-05-11 08:53:09.473,199,NULL,NULL,NULL
126,Grass cutter,398,1,1,1,2021-05-11 08:53:25.767,199,NULL,NULL,NULL
127,Lights,410,1,1,1,2021-05-11 08:53:49.940,199,NULL,NULL,NULL
128,Lawnmower,402,1,1,1,2021-05-11 08:54:04.883,199,NULL,NULL,NULL
129,Marking Machine,413,1,1,1,2021-05-11 08:54:22.017,199,NULL,NULL,NULL
130,Picker,400,1,1,1,2021-05-11 08:54:49.973,199,NULL,NULL,NULL
131,Measuring Wheel,405,1,1,1,2021-05-11 08:55:05.920,199,NULL,NULL,NULL
132,Mower,404,1,1,1,2021-05-11 08:55:21.460,199,NULL,NULL,NULL
133,Radio,383,1,1,1,2021-05-11 08:56:13.413,199,NULL,NULL,NULL
134,Pressing Machine,412,1,1,1,2021-05-11 08:56:45.133,199,NULL,NULL,NULL
135,Pruner,406,1,1,1,2021-05-11 08:59:29.077,199,NULL,NULL,NULL
136,Roller,399,1,1,1,2021-05-11 08:59:57.563,199,NULL,NULL,NULL
137,Tanker,416,1,1,1,2021-05-11 09:06:07.110,199,NULL,NULL,NULL
