200,Vuli-Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,200,NULL,NULL
201,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,201,NULL,NULL
202,Vulli-Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,202,NULL,NULL
203,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,203,NULL,NULL
204,Unknown,1,2017-07-02 14:47:14.000,1,NULL,NULL,204,NULL,NULL
205,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,205,NULL,NULL
206,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,206,NULL,NULL
207,Vullu-Vally T/Ship,1,2017-07-02 14:47:14.000,1,NULL,NULL,207,NULL,NULL
208,16 Tyrwhitt Avenue,1,2017-07-02 14:47:14.000,1,NULL,NULL,208,NULL,NULL
209,Vulli-Valley T/Ship,1,2017-07-02 14:47:14.000,1,NULL,NULL,209,NULL,NULL
210,Ext 24,1,2017-07-02 14:47:14.000,1,NULL,NULL,210,NULL,NULL
211,Bisho,1,2017-07-02 14:47:14.000,1,NULL,NULL,211,NULL,NULL
212,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,212,NULL,NULL
213,Southerwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,213,NULL,NULL
214,Southenwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,214,NULL,NULL
215,Vuli- Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,215,NULL,NULL
216,Ext 15,1,2017-07-02 14:47:14.000,1,NULL,NULL,216,NULL,NULL
217,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,217,NULL,NULL
218,Extension 15,1,2017-07-02 14:47:14.000,1,NULL,NULL,218,NULL,NULL
219,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,219,NULL,NULL
220,Vuli Valley,1,2017-07-02 14:47:14.000,1,NULL,NULL,220,NULL,NULL
221,Butterworth Central,1,2017-07-02 14:47:14.000,1,NULL,NULL,221,NULL,NULL
222,Souhernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,222,NULL,NULL
223,Extension 23,1,2017-07-02 14:47:14.000,1,NULL,NULL,223,NULL,NULL
224,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,224,NULL,NULL
225,Central Town,1,2017-07-02 14:47:14.000,1,NULL,NULL,225,NULL,NULL
226,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,226,NULL,NULL
227,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,227,NULL,NULL
228,Extension 24,1,2017-07-02 14:47:14.000,1,NULL,NULL,228,NULL,NULL
229,Msobomvu Post Office,1,2017-07-02 14:47:14.000,1,NULL,NULL,229,NULL,NULL
230,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,230,NULL,NULL
231,Souithernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,231,NULL,NULL
232,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,232,NULL,NULL
233,Extension 24,1,2017-07-02 14:47:14.000,1,NULL,NULL,233,NULL,NULL
234,P.O. Box 11197,1,2017-07-02 14:47:14.000,1,NULL,NULL,234,NULL,NULL
235,Siouthernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,235,NULL,NULL
236,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,236,NULL,NULL
237,Soouthernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,237,NULL,NULL
238,Southernwood,1,2017-07-02 14:47:14.000,1,NULL,NULL,238,NULL,NULL
239,Zizamele,1,2017-07-02 14:47:14.000,1,NULL,NULL,239,NULL,NULL
