ID,Filename,UserId,IsDonated,Activate_Validation,Processed,Date_Created,Job_Status,Date_Ran,No_RecordsInserted,No_RecodsNotValidating,Total_Records,ValidationError_Path,ServiceID,ProcessDate,RunID,ContractNumber
580,Fencing of Main Building-takeon LN.csv,196,2,1,0,2025-08-04 12:16:39.310,Completed Successfully!,NULL,0,0,7,NULL,1,2025-08-04 12:17:35.570,97,
581,Mnquma Public Toilets-Takeon LN.csv,238,2,1,0,2025-08-04 12:22:45.867,Completed Successfully!,NULL,0,0,22,NULL,1,2025-08-04 12:23:36.177,98,
582,Regraveling of Booi Farm MK.csv,238,2,1,0,2025-08-04 12:28:22.517,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 12:28:36.217,NULL,
583,Fencing of DLTC-takeon LN.csv,196,2,1,0,2025-08-04 12:29:40.787,Completed Unsuccessfully! With Validation Error Log,NULL,0,9,9,Error_Job_583.csv,1,2025-08-04 12:30:36.513,NULL,
584,Regraveling of Booi Farm MK.csv,238,2,1,0,2025-08-04 12:29:55.183,Completed Unsuccessfully! With Validation Error Log,NULL,0,7,7,Error_Job_584.csv,1,2025-08-04 12:30:36.890,NULL,
585,Regraveling of Booi Farm MK.csv,238,2,1,0,2025-08-04 12:32:21.820,Completed Successfully!,NULL,0,0,7,NULL,1,2025-08-04 12:32:37.277,99,
586,Regraveling of Dudumashe Access Road LN.csv,238,2,1,0,2025-08-04 12:38:18.520,Completed Successfully!,NULL,0,0,5,NULL,1,2025-08-04 12:38:37.617,100,
587,Fencing of DLTC-takeon LN.csv,196,2,1,0,2025-08-04 12:38:53.037,Completed Successfully!,NULL,0,0,9,NULL,1,2025-08-04 12:39:38.177,101,
588,Regraveling of Khantolo Access Road LN.csv,238,2,1,0,2025-08-04 12:45:03.053,Completed Successfully!,NULL,0,0,4,NULL,1,2025-08-04 12:45:38.537,102,
589,Regraveling of Mahlubini Access Road LN.csv,196,2,1,0,2025-08-04 12:47:15.943,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 12:47:38.580,NULL,
