AssetCIDMSComponentTypeID,AssetCIDMSComponentTypeDesc,AssetCIDMSAssetTypeID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
259,Valve - water,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
260,Vending station,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
261,VIP latrine (excluding structure),48,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
262,Voltage transformer,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
263,Voltage transformer,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
264,Walls,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
265,Water meter,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
266,Water meter,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
267,Water servitude,327,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
268,Weighbridge,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
269,Well,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
270,Winch,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
271,Wireless access point,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
272,Air Conditioner,2,1,2021-05-07 15:49:42.253,199,2022-11-02 15:04:16.877,199,NULL
273,Alcotest,336,1,2021-05-07 15:50:20.547,199,NULL,NULL,NULL
274,Bar Fridge,336,1,2021-05-07 15:50:54.623,199,NULL,NULL,NULL
275,Bench,336,1,2021-05-07 15:51:46.843,199,NULL,NULL,NULL
276,Bid Box,336,1,2021-05-07 15:52:22.467,199,NULL,NULL,NULL
277,Binder,336,1,2021-05-07 15:52:55.737,199,NULL,NULL,NULL
278,Book display,336,1,2021-05-07 15:53:29.050,199,NULL,NULL,NULL
279,Bookcase,336,1,2021-05-07 15:54:01.847,199,NULL,NULL,NULL
280,Cabinet,336,1,2021-05-07 15:54:43.433,199,NULL,NULL,NULL
281,Camera,336,1,2021-05-07 15:55:16.860,199,NULL,NULL,NULL
282,CAMERA SONY CYBERSHOT,336,1,2021-05-07 15:55:49.377,199,NULL,NULL,NULL
283,CANON DIGITAL CAMERA,336,1,2021-05-07 15:56:33.600,199,NULL,NULL,NULL
284,CANON DIGITAL CAMERA EOS 700D,336,1,2021-05-07 15:57:13.850,199,NULL,NULL,NULL
